Year,Month,Day,Listening,Reading,Speaking,Writing
2025,January,1,0,,,
,,2,117,,,
,,3,80,,,
,,4,81,,,
,,5,81,,,
,,6,83,,,
,,7,98,,,
,,8,56,,,
,,9,22,,,
,,10,25,,,
,,11,34,,,
,,12,49,,,
,,13,83,,,
,,14,82,,,
,,15,101,,,
,,16,81,,,
,,17,80,,,
,,18,80,,,
,,19,64,,,
,,20,81,,,
,,21,83,,,
,,22,81,,,
,,23,94,,,
,,24,57,,,
,,25,11,,,
,,26,95,,,
,,27,82,,,
,,28,82,,,
,,29,117,,,
,,30,87,,,
,,31,41,,,
2025,February,1,0,,,
,,2,93,,,
,,3,84,,,
,,4,86,,,
,,5,22,,,
,,6,63,,,
,,7,47,,,
,,8,54,,,
,,9,88,,,
,,10,93,,,
,,11,102,,,
,,12,96,,,
,,13,93,,,
,,14,91,,,
,,15,94,,,
,,16,24,,,
,,17,91,,,
,,18,142,,,
,,19,99,,,
,,20,93,,,
,,21,83,,,
,,22,124,,,
,,23,129,,,
,,24,137,,,
,,25,91,,,
,,26,95,,,
,,27,129,,,
,,28,0,,,
2025,March,1,0,,,
,,2,100,,,
,,3,132,,,
,,4,129,,,
,,5,115,,,
,,6,90,,,
,,7,77,,,
,,8,44,,,
,,9,0,,,
,,10,67,,,
,,11,100,,,
,,12,45,,,
,,13,13,,,
,,14,49,,,
,,15,121,,,
,,16,37,,,
,,17,91,,,
,,18,49,,,
,,19,105,,,
,,20,176,,,
,,21,95,,,
,,22,0,,,
,,23,122,,,
,,24,90,,,
,,25,49,,,
,,26,116,,,
,,27,3,,,
,,28,72,,,
,,29,86,,,
,,30,129,,,
,,31,91,,,
,April,1,143,,,
,,2,101,,,
,,3,157,,,
,,4,122,,,
,,5,100,,,
,,6,163,,,
,,7,182,,,
,,8,152,,,
,,9,101,,,
,,10,107,,,
,,11,66,,,
,,12,0,,,
,,13,73,,,
,,14,76,,,
,,15,90,,,
,,16,57,,,
,,17,78,,,
,,18,17,,,
,,19,134,,,
,,20,92,,,
,,21,90,,,
,,22,81,,,
,,23,90,,,
,,24,101,,,
,,25,44,,,
,,26,0,,,
,,27,112,,,
,,28,93,,,
,,29,96,,,
,,30,47,,,
,May,1,98,,,
,,2,90,,,
,,3,91,,,
,,4,93,,,
,,5,115,,,
,,6,92,,,
,,7,130,,,
,,8,62,,,
,,9,45,,,
,,10,0,,,
,,11,94,,,
,,12,124,,,
,,13,90,,,
,,14,136,,,
,,15,90,,,
,,16,105,,,
,,17,5,,,
,,18,100,,,
,,19,151,,,
,,20,160,,,
,,21,94,,,
,,22,146,,,
,,23,101,,,
,,24,120,,,
,,25,180,,,
,,26,183,,,
,,27,169,,,
,,28,163,,,
,,29,160,,,
,,30,166,,,
,,31,178,,,
,June,1,215,,,
,,2,239,,,
,,3,198,,,
,,4,191,,,
,,5,221,,,
,,6,160,,,
,,7,163,,,
,,8,220,,,
,,9,174,,,
,,10,193,,,
,,11,297,,,
,,12,209,,,
,,13,160,,,
,,14,45,,,
,,15,174,,,
,,16,162,,,
,,17,265,,,
,,18,235,,,
,,19,160,,,
,,20,164,,,
,,21,179,,,
,,22,160,,,
,,23,175,,,
,,24,258,,,
,,25,173,,,
,,26,244,,,
,,27,160,,,
,,28,210,,,
,,29,166,,,
,,30,182,,,
,July,1,168,,,
,,2,86,,,
,,3,160,,,
,,4,160,,,
,,5,182,,,
,,6,221,,,
,,7,182,,,
,,8,191,,,
,,9,167,,,
,,10,168,,,
,,11,164,,,
,,12,165,,,
,,13,52,,,
,,14,163,,,
,,15,222,,,
,,16,193,,,
,,17,242,,,
,,18,126,,,
,,19,162,,,
,,20,168,,,
,,21,106,,,
,,22,185,,,
,,23,145,,,
,,24,161,,,
,,25,126,,,
,,26,57,,,
,,27,123,,,
,,28,93,,,
,,29,173,,,
,,30,178,,,
,,31,178,60,,
,August,1,160,10,,
,,2,162,10,,
,,3,162,10,,
,,4,162,,,
,,5,187,13,,
,,6,182,10,,
,,7,208,,,
,,8,162,15,,
,,9,69,,,
,,10,163,10,,
,,11,163,,,
,,12,180,14,,
,,13,172,12,,
,,14,195,,,
,,15,89,15,,
,,16,69,60,,
,,17,61,,,
,,18,180,31,,
,,19,124,44,56,
,,20,162,12,,
,,21,142,21,20,
,,22,145,37,20,
,,23,31,,,
,,24,209,22,,
,,25,175,21,52,
,,26,120,15,50,
,,27,113,,50,
,,28,116,17,53,
,,29,120,39,50,
,,30,161,,,
,,31,163,,,
,September,1,163,74,,
,,2,105,36,55,
,,3,165,8,,
,,4,83,,58,
,,5,118,30,50,
,,6,166,,,
,,7,30,37,,
,,8,182,32,54,
,,9,108,,55,
,,10,160,23,,
,,11,126,49,55,
,,12,170,11,55,
,,13,168,25,,
,,14,56,9,,
,,15,44,,,
,,16,60,,,
,,17,140,8,,
,,18,41,,,
,,19,44,36,,
,,20,58,,,
,,21,19,,,
,,22,116,,,
,,23,124,,,
,,24,120,14,,
,,25,108,30,,
,,26,69,23,,
,,27,18,,,
,,28,200,,,
,,29,65,,,
,,30,185,,54,
,October,1,108,,52,
,,2,52,,,
,,3,92,12,85,
,,4,163,,,
,,5,60,,,
,,6,120,12,54,
,,7,115,,52,
,,8,151,17,52,
,,9,195,20,56,
,,10,123,25,53,
,,11,118,9,,
,,12,162,20,,
,,13,121,49,53,
,,14,176,33,55,
,,15,76,34,57,
,,16,78,37,83,
,,17,115,16,50,
,,18,90,53,,
,,19,168,31,,
,,20,107,27,55,
,,21,115,34,54,
,,22,88,33,81,
,,23,150,28,51,
,,24,109,15,51,
,,25,52,19,,
,,26,91,9,,
,,27,108,22,55,
,,28,118,30,56,
,,29,46,36,50,
,,30,59,,0,
,,31,19,,0,
,November,1,20,,0,
,,2,94,16,0,
,,3,10,,0,
,,4,21,,0,
,,5,156,55,0,
,,6,29,,0,
,,7,93,,28,
,,8,28,,0,
,,9,80,,0,
,,10,73,17,53,
,,11,30,18,53,
,,12,150,29,25,
,,13,35,,54,
,,14,89,,,
,,15,71,,,
,,16,161,,,
,,17,76,29,52,
,,18,104,,52,
,,19,43,26,52,
,,20,42,,52,
,,21,53,,,
,,22,98,,,
,,23,100,,,
,,24,96,,,
,,25,135,,52,
,,26,67,,28,
,,27,49,,52,
,,28,71,,55,
,,29,90,,,
,,30,90,,,
,December,1,38,,56,
,,2,69,29,25,
,,3,40,11,50,
,,4,89,39,55,
,,5,12,39,78,
,,6,51,,55,
,,7,90,23,,
,,8,36,20,55,
,,9,87,,52,
,,10,93,,,
,,11,70,18,51,
,,12,81,61,51,
,,13,127,23,,
,,14,114,32,,
,,15,73,39,55,
,,16,73,50,101,
,,17,61,35,,
,,18,14,,52,
,,19,16,,,
,,20,49,21,,
,,21,52,37,52,
,,22,52,33,53,
,,23,29,22,54,
,,24,23,,,
,,25,23,,,
,,26,129,62,,
,,27,112,11,,
,,28,65,44,55,
,,29,87,71,26,
,,30,23,41,101,
,,31,113,80,,
